raceId,ultrapassagens,name,year,corrida
1,458,Australian Grand Prix,2009,2009 - Australian Grand Prix
2,237,Malaysian Grand Prix,2009,2009 - Malaysian Grand Prix
3,604,Chinese Grand Prix,2009,2009 - Chinese Grand Prix
4,542,Bahrain Grand Prix,2009,2009 - Bahrain Grand Prix
5,328,Spanish Grand Prix,2009,2009 - Spanish Grand Prix
6,489,Monaco Grand Prix,2009,2009 - Monaco Grand Prix
7,519,Turkish Grand Prix,2009,2009 - Turkish Grand Prix
8,484,British Grand Prix,2009,2009 - British Grand Prix
9,840,German Grand Prix,2009,2009 - German Grand Prix
10,708,Hungarian Grand Prix,2009,2009 - Hungarian Grand Prix
11,665,European Grand Prix,2009,2009 - European Grand Prix
12,473,Belgian Grand Prix,2009,2009 - Belgian Grand Prix
13,402,Italian Grand Prix,2009,2009 - Italian Grand Prix
14,640,Singapore Grand Prix,2009,2009 - Singapore Grand Prix
15,610,Japanese Grand Prix,2009,2009 - Japanese Grand Prix
16,637,Brazilian Grand Prix,2009,2009 - Brazilian Grand Prix
17,619,Abu Dhabi Grand Prix,2009,2009 - Abu Dhabi Grand Prix
18,146,Australian Grand Prix,2008,2008 - Australian Grand Prix
19,422,Malaysian Grand Prix,2008,2008 - Malaysian Grand Prix
20,433,Bahrain Grand Prix,2008,2008 - Bahrain Grand Prix
21,375,Spanish Grand Prix,2008,2008 - Spanish Grand Prix
22,389,Turkish Grand Prix,2008,2008 - Turkish Grand Prix
23,509,Monaco Grand Prix,2008,2008 - Monaco Grand Prix
24,654,Canadian Grand Prix,2008,2008 - Canadian Grand Prix
25,670,French Grand Prix,2008,2008 - French Grand Prix
26,77,British Grand Prix,2008,2008 - British Grand Prix
27,789,German Grand Prix,2008,2008 - German Grand Prix
28,539,Hungarian Grand Prix,2008,2008 - Hungarian Grand Prix
29,449,European Grand Prix,2008,2008 - European Grand Prix
30,270,Belgian Grand Prix,2008,2008 - Belgian Grand Prix
31,656,Italian Grand Prix,2008,2008 - Italian Grand Prix
32,631,Singapore Grand Prix,2008,2008 - Singapore Grand Prix
33,596,Japanese Grand Prix,2008,2008 - Japanese Grand Prix
34,566,Chinese Grand Prix,2008,2008 - Chinese Grand Prix
35,455,Brazilian Grand Prix,2008,2008 - Brazilian Grand Prix
36,206,Australian Grand Prix,2007,2007 - Australian Grand Prix
37,388,Malaysian Grand Prix,2007,2007 - Malaysian Grand Prix
38,415,Bahrain Grand Prix,2007,2007 - Bahrain Grand Prix
39,251,Spanish Grand Prix,2007,2007 - Spanish Grand Prix
40,82,Monaco Grand Prix,2007,2007 - Monaco Grand Prix
41,621,Canadian Grand Prix,2007,2007 - Canadian Grand Prix
42,387,United States Grand Prix,2007,2007 - United States Grand Prix
43,413,French Grand Prix,2007,2007 - French Grand Prix
44,203,British Grand Prix,2007,2007 - British Grand Prix
45,281,European Grand Prix,2007,2007 - European Grand Prix
46,437,Hungarian Grand Prix,2007,2007 - Hungarian Grand Prix
47,424,Turkish Grand Prix,2007,2007 - Turkish Grand Prix
48,371,Italian Grand Prix,2007,2007 - Italian Grand Prix
49,295,Belgian Grand Prix,2007,2007 - Belgian Grand Prix
50,525,Japanese Grand Prix,2007,2007 - Japanese Grand Prix
51,440,Chinese Grand Prix,2007,2007 - Chinese Grand Prix
52,264,Brazilian Grand Prix,2007,2007 - Brazilian Grand Prix
53,483,Bahrain Grand Prix,2006,2006 - Bahrain Grand Prix
54,307,Malaysian Grand Prix,2006,2006 - Malaysian Grand Prix
55,365,Australian Grand Prix,2006,2006 - Australian Grand Prix
56,573,San Marino Grand Prix,2006,2006 - San Marino Grand Prix
57,318,European Grand Prix,2006,2006 - European Grand Prix
58,235,Spanish Grand Prix,2006,2006 - Spanish Grand Prix
59,263,Monaco Grand Prix,2006,2006 - Monaco Grand Prix
60,384,British Grand Prix,2006,2006 - British Grand Prix
61,221,Canadian Grand Prix,2006,2006 - Canadian Grand Prix
62,289,United States Grand Prix,2006,2006 - United States Grand Prix
63,309,French Grand Prix,2006,2006 - French Grand Prix
64,380,German Grand Prix,2006,2006 - German Grand Prix
65,142,Hungarian Grand Prix,2006,2006 - Hungarian Grand Prix
66,289,Turkish Grand Prix,2006,2006 - Turkish Grand Prix
67,372,Italian Grand Prix,2006,2006 - Italian Grand Prix
68,337,Chinese Grand Prix,2006,2006 - Chinese Grand Prix
69,364,Japanese Grand Prix,2006,2006 - Japanese Grand Prix
70,466,Brazilian Grand Prix,2006,2006 - Brazilian Grand Prix
71,412,Australian Grand Prix,2005,2005 - Australian Grand Prix
72,361,Malaysian Grand Prix,2005,2005 - Malaysian Grand Prix
73,220,Bahrain Grand Prix,2005,2005 - Bahrain Grand Prix
74,376,San Marino Grand Prix,2005,2005 - San Marino Grand Prix
75,252,Spanish Grand Prix,2005,2005 - Spanish Grand Prix
76,437,Monaco Grand Prix,2005,2005 - Monaco Grand Prix
77,439,European Grand Prix,2005,2005 - European Grand Prix
78,188,Canadian Grand Prix,2005,2005 - Canadian Grand Prix
79,66,United States Grand Prix,2005,2005 - United States Grand Prix
80,72,French Grand Prix,2005,2005 - French Grand Prix
81,388,British Grand Prix,2005,2005 - British Grand Prix
82,431,German Grand Prix,2005,2005 - German Grand Prix
83,271,Hungarian Grand Prix,2005,2005 - Hungarian Grand Prix
84,361,Turkish Grand Prix,2005,2005 - Turkish Grand Prix
85,380,Italian Grand Prix,2005,2005 - Italian Grand Prix
86,176,Belgian Grand Prix,2005,2005 - Belgian Grand Prix
87,244,Brazilian Grand Prix,2005,2005 - Brazilian Grand Prix
88,496,Japanese Grand Prix,2005,2005 - Japanese Grand Prix
89,492,Chinese Grand Prix,2005,2005 - Chinese Grand Prix
90,205,Australian Grand Prix,2004,2004 - Australian Grand Prix
91,279,Malaysian Grand Prix,2004,2004 - Malaysian Grand Prix
92,284,Bahrain Grand Prix,2004,2004 - Bahrain Grand Prix
93,287,San Marino Grand Prix,2004,2004 - San Marino Grand Prix
94,311,Spanish Grand Prix,2004,2004 - Spanish Grand Prix
95,80,Monaco Grand Prix,2004,2004 - Monaco Grand Prix
96,280,European Grand Prix,2004,2004 - European Grand Prix
97,99,Canadian Grand Prix,2004,2004 - Canadian Grand Prix
